orden,linea,entrega,fecha_ingreso_inventario,fecha_aproximada_necesidad,dia_semana_aproximado,mes_aproximado,año_aproximado,fecha_entrega_real,nit_proveedor,CreationDate_proveedor,cantidad,pais,forma_envio,unidad_de_medida/U,terminos_de_pago,categoria_,STATUS_08,cumplio,dias_diferencia_entrega
77725582,24,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,600.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,03,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,09,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,300.0,ESTADOS UNIDOS,AEREO,KG,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,20,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,250.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,"MATERIAL ELÉCTRICO PARA LUMINARIAS (PRENSAESTOPAS, BORNERAS, CONECTORES, FUSIBLES, FILTROS, ENTRE OTROS)",activo,1,0
77725582,33,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,70.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,01,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,300.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,17,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,650.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,26,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,80.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,04,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,500.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,15,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,2500.0,ESTADOS UNIDOS,AEREO,LB,A 30 DIAS,COMPONENTES ELECTRONICOS,activo,1,0
77725582,31,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,10.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
77725582,32,01,2024-11-05,2024-09-17,Tuesday,September,2024,2024-09-17,411234968,2021-11-19 08:24:02.910,35.0,ESTADOS UNIDOS,AEREO,OZ,A 30 DIAS,OTROS,activo,1,0
